worker_id,full_name,gender,nationality,date_of_birth,admission_date,end_date,is_active,department_id
W001,Alice Wagner,Female,Italian,1976-06-03,2022-05-17,2024-04-18,False,D04
W002,Tina Becker,Female,French,1998-10-19,2023-03-12,,True,D08
W003,Olivia Richter,Female,Brazilian,2000-07-07,2024-10-11,,True,D02
W004,Sofia Braun,Female,Indian,1988-06-14,2020-02-05,2021-11-21,False,D07
W005,Kate Hoffmann,Female,Brazilian,1978-01-13,2019-03-17,2021-04-07,False,D06
W006,Yara Schwarz,Female,Italian,1989-03-14,2018-08-05,,True,D03
W007,Lukas Hartmann,Male,German,1982-02-15,2018-07-21,,True,D02
W008,Max Hoffmann,Male,Spanish,1992-01-03,2024-09-01,,True,D04
W009,Bob Krüger,Male,German,1990-08-07,2024-08-01,,True,D07
W010,Uma Lange,Female,Indian,1987-01-13,2021-01-22,,True,D05
W011,Iris Meyer,Female,Spanish,1988-12-24,2020-11-14,,True,D08
W012,Anna Müller,Female,Portuguese,1984-04-02,2019-08-03,,True,D01
W013,Oscar Schulz,Male,American,1976-01-19,2021-11-18,,True,D08
W014,Noah Schmitt,Male,Spanish,1980-01-17,2022-03-17,,True,D02
W015,Jonas Wagner,Male,Turkish,1994-02-22,2019-01-28,2020-10-08,False,D04
W016,Victor Wolf,Male,Turkish,1994-01-20,2020-09-09,,True,D02
W017,Leon Braun,Male,Italian,1993-10-17,2019-10-14,,True,D06
W018,Carol Müller,Female,Italian,1996-12-11,2020-11-06,,True,D04
W019,Eva Weber,Female,Indian,1979-11-21,2020-07-13,,True,D05
W020,Liam Schulz,Male,British,1999-02-01,2019-06-08,,True,D08
W021,Emma Wolf,Female,American,1978-02-18,2023-11-10,,True,D04
W022,Erik Neumann,Male,Polish,1979-06-03,2022-08-01,,True,D04
W023,Zoe Meyer,Female,British,1980-08-27,2023-10-07,,True,D05
W024,David Hoffmann,Male,Dutch,1991-01-22,2021-12-04,,True,D05
W025,Grace Schneider,Female,Portuguese,1979-05-04,2021-02-10,,True,D02
W026,Nina Schwarz,Female,Portuguese,1979-05-10,2019-09-18,,True,D04
W027,Felix Schulz,Male,American,1981-11-21,2022-12-24,,True,D05
W028,Frank Richter,Male,Italian,1983-01-03,2020-10-15,,True,D07
W029,James Klein,Male,Dutch,1975-06-25,2021-11-11,,True,D03
W030,Mia Neumann,Female,American,1980-12-15,2018-05-05,,True,D07
W031,Sam Schröder,Male,American,1978-02-23,2022-07-06,,True,D03
W032,Wendy Klein,Female,Turkish,1986-10-18,2022-02-28,,True,D03
W033,Henry Becker,Male,Polish,1976-05-12,2023-11-17,,True,D01
W034,Paul Müller,Male,Polish,1996-04-22,2019-05-24,,True,D02
W035,Laura Fischer,Female,French,1992-07-20,2024-03-18,,True,D03
W036,Marco Lange,Male,Spanish,2000-03-14,2018-04-24,2021-07-26,False,D01
W037,Tom Braun,Male,Portuguese,1998-04-09,2020-10-03,2021-07-28,False,D03
W038,Rosa Klein,Female,Polish,1990-04-07,2020-09-28,2023-04-08,False,D08
W039,Xander Schröder,Male,Italian,1996-04-13,2021-05-25,,True,D06
W040,Paula Wagner,Female,Dutch,1999-05-12,2019-10-13,2022-01-04,False,D07
